rdate,date,set,version,sold_quantity,orders,revenue
2018-10-05,2021-10-29,Guilds of Ravnica,NonFoil,970,780,3527.479999999999
2020-09-25,2021-10-29,Zendikar Rising,Foil,772,564,3188.919999999996
2019-07-12,2021-10-29,Core Set 2020,NonFoil,1467,1060,4623.660000000002
2003-02-03,2021-10-29,Legions,NonFoil,184,178,754.5
2010-02-05,2021-10-29,Worldwake,Foil,50,42,470.13999999999993
2011-04-01,2021-10-29,Duel Decks: Knights vs. Dragons,NonFoil,23,23,43.099999999999994
2019-10-04,2021-10-29,Throne of Eldraine,Foil,196,150,1039.66
2020-02-29,2021-10-29,Unsanctioned,Foil,136,24,100.59999999999997
1995-06-03,2022-01-19,Ice Age,NonFoil,351,227,1124.1299999999997
2007-07-13,2022-01-19,10th Edition,NonFoil,120,112,562.4100000000002
2021-03-19,2022-01-19,Time Spiral: Remastered,NonFoil,1320,970,4773.279999999993
2006-10-06,2022-01-19,Timeshifted,NonFoil,60,54,235.06000000000006
2008-07-25,2022-01-19,Eventide,NonFoil,118,100,500.6799999999999
2004-06-04,2022-01-19,Fifth Dawn,NonFoil,302,264,1653.5400000000022
2007-02-02,2022-01-19,Planar Chaos,NonFoil,148,132,634.2999999999998
2019-10-04,2022-01-19,Throne of Eldraine,NonFoil,1975,1365,3640.1999999999935
2012-10-05,2022-01-19,Return to Ravnica,NonFoil,656,528,2611.939999999999
2017-04-28,2022-01-19,Amonkhet,NonFoil,710,574,2973.8399999999983
2007-05-04,2022-04-11,Future Sight,NonFoil,286,216,714.8000000000006
2016-08-26,2022-04-11,Conspiracy: Take the Crown,NonFoil,271,255,2113.2700000000013
2000-02-14,2022-04-11,Nemesis,NonFoil,92,90,364.9199999999999
2021-11-19,2022-04-11,Commander: Innistrad: Crimson Vow,NonFoil,337,261,547.1299999999998
2012-02-03,2022-04-11,Dark Ascension,Foil,36,28,309.29999999999995
2021-04-23,2022-04-11,Commander 2021,Foil,67,66,193.49000000000004
2018-12-07,2022-03-16,Ultimate Masters,NonFoil,652,546,5837.219999999991
2017-06-09,2022-03-16,Commander Anthology,NonFoil,94,82,310.33000000000004
2007-10-12,2022-03-16,Lorwyn,NonFoil,434,306,1192.1200000000013
2019-07-12,2022-03-16,Core Set 2020,NonFoil,961,771,3574.249999999996
2021-04-23,2022-03-16,Commander 2021,NonFoil,1724,1096,2107.6700000000023
2014-06-06,2022-03-16,Conspiracy,NonFoil,218,168,985.3199999999998
2021-04-23,2022-03-16,Strixhaven: School of Mages,Foil,264,180,862.64
2021-02-05,2022-03-16,Commander: Kaldheim,NonFoil,187,151,226.52000000000004
NA,2022-03-16,Modern Horizons 2,Foil,95,59,315.19
2007-07-13,2022-03-22,10th Edition,NonFoil,112,105,600.4999999999998
2018-10-05,2022-03-22,Guilds of Ravnica,NonFoil,740,600,3011.799999999995
2021-11-19,2022-03-22,Innistrad: Crimson Vow,Foil,504,382,2652.699999999999
2019-12-02,2022-03-22,Secret Lair Drop Series,NonFoil,579,454,5242.039999999981
2017-06-09,2022-03-22,Commander Anthology,NonFoil,97,84,441.5499999999999
2008-05-02,2022-03-22,Shadowmoor,NonFoil,410,302,1859.7200000000003
2015-07-17,2022-03-22,Magic Origins,Foil,48,46,298.5199999999999
2011-07-15,2021-10-24,Magic 2012 (M12),NonFoil,386,332,1263.300000000001
2019-05-03,2021-10-24,War of the Spark,NonFoil,1352,1132,4410.979999999986
NA,2021-10-24,Modern Horizons,Foil,99,68,866.5900000000003
2020-05-18,2021-10-24,Unique and Miscellaneous Promos,Foil,27,24,74.02000000000001
2020-03-08,2022-01-27,Mystery Booster: Retail Exclusives,Foil,167,143,758.8000000000002
2007-10-12,2022-01-27,Lorwyn,NonFoil,382,264,821.6799999999996
